編號,國文,英文,數學,自然,社會
1,80,83,72,80,92
2,67,94,88,100,53
3,60,68,92,58,96
4,96,59,65,66,52
5,85,94,85,86,91
6,70,95,74,72,85
7,67,86,51,87,67
8,51,90,87,99,84
9,55,83,65,88,88
10,87,74,93,51,71
11,95,89,67,90,94
12,51,64,76,56,94
13,86,86,66,77,89
14,60,71,97,81,97
15,73,66,54,96,94
16,89,99,67,71,61
17,92,82,85,84,69
18,96,99,81,50,77
19,53,83,67,91,60
20,77,52,50,100,57
21,59,59,92,85,93
22,98,53,70,60,82
23,68,71,92,81,61
24,75,62,84,56,74
25,97,70,64,100,73
26,93,61,94,83,61
27,71,92,94,74,92
28,57,58,86,83,65
29,62,91,75,78,70
30,95,69,70,64,50
31,79,85,95,55,92
32,65,58,50,96,97
33,70,66,76,61,56
34,84,62,61,51,81
35,90,75,99,86,96
36,99,72,77,99,75
37,52,89,75,69,63
38,86,89,56,67,77
39,91,65,77,69,61
40,72,92,80,52,55
41,65,59,77,85,65
42,77,63,67,74,94
43,92,69,90,63,66
44,53,89,60,79,53
45,91,59,67,97,89
46,71,78,84,97,78
47,53,93,76,77,80
48,53,99,51,55,86
49,60,77,91,77,76
50,96,66,87,76,59
