城市,起始時間,結束時間,最高溫度,最低溫度,感覺
臺北市,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,26.0,26.0,舒適
新北市,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,27.0,27.0,舒適
桃園市,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,26.0,26.0,舒適
臺中市,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,28.0,28.0,舒適
臺南市,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,27.0,27.0,舒適
高雄市,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,29.0,29.0,舒適至悶熱
基隆市,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,25.0,25.0,舒適
新竹縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,26.0,26.0,舒適
新竹市,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,26.0,26.0,舒適
苗栗縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,26.0,26.0,舒適
彰化縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,26.0,26.0,舒適
南投縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,28.0,28.0,舒適
雲林縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,26.0,26.0,舒適
嘉義縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,27.0,27.0,舒適
嘉義市,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,27.0,27.0,舒適
屏東縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,28.0,28.0,舒適
宜蘭縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,25.0,25.0,舒適
花蓮縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,25.0,25.0,舒適
臺東縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,26.0,26.0,舒適
澎湖縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,25.0,25.0,舒適
金門縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,25.0,25.0,舒適
連江縣,2023-10-26T18:00:00+08:00,2023-10-27T06:00:00+08:00,23.0,23.0,舒適
